Protein Symbol,Heritability
TYPH,0.1083
PTBP1,0.1077
ECM1,0.1053
LV405,0.1051
NUP98,0.1042
CLUS,0.0982
HEMO,0.0935
HV319,0.0882
LV301,0.0878
CFAD,0.0878
CRIS3,0.0858
FHOD1,0.0829
APOC2,0.0741
CDC5L,0.0682
GOLM1,0.0682
ATRN,0.0674
FHR2,0.0647
ALBU,0.0640
KV206,0.0634
DYHC1,0.0628
LV403,0.0625
APOB,0.0613
6PGD,0.0582
HV306,0.0576
PRKDC,0.0574
COPD,0.0550
FINC,0.0515
HRG,0.0472
UBP14,0.0469
GRP75,0.0459
APOA1,0.0425
LMNA,0.0389
FA10,0.0373
PGRP2,0.0373
ANXA6,0.0361
FETUB,0.0354
SCG2,0.0353
HV312,0.0305
GAPR1,0.0284
ASSY,0.0233
PROZ,0.0229
LAMA5,0.0199
IGHA2,0.0194
AHNK,0.0189
IGF2,0.0164
BTD,0.0158
CFAH,0.0135
CPSM,0.0127
ITIH1,0.0071
HV209,0.0068
NAMPT,0.0010
A2MG,0.0000
APOA2,0.0000
APOC1,0.0000
CXCL7,0.0000
GELS,0.0000
C1S,0.0000
ZA2G,0.0000
PON1,0.0000
C1R,0.0000
C1QC,0.0000
THBG,0.0000
CO7,0.0000
CO6,0.0000
1433Z,0.0000
HGFA,0.0000
PROC,0.0000
F13B,0.0000
IF4H,0.0000
TPIS,0.0000
DEF1,0.0000
ACLY,0.0000
HSP74,0.0000
K2C4,0.0000
IBP3,0.0000
EF2,0.0000
CH60,0.0000
K1C19,0.0000
ANXA2,0.0000
LDHB,0.0000
LG3BP,0.0000
GRN,0.0000
PZP,0.0000
CD14,0.0000
C1QA,0.0000
MCM5,0.0000
HPTR,0.0000
ANGT,0.0000
KNG1,0.0000
APOH,0.0000
AMBP,0.0000
ITIH2,0.0000
LUM,0.0000
HBB,0.0000
HBA,0.0000
APOF,0.0000
PON3,0.0000
FCN3,0.0000
FA12,0.0000
IGHG3,0.0000
CO8A,0.0000
PLSL,0.0000
VINC,0.0000
FBLN1,0.0000
K1C9,0.0000
MYH9,0.0000
PTGDS,0.0000
ITIH3,0.0000
C1RL,0.0000
MASP2,0.0000
C4BPB,0.0000
CBG,0.0000
LV001,0.0000
IGHG4,0.0000
KV102,0.0000
VASN,0.0000
LYVE1,0.0000
EXOS1,0.0000
AT11B,0.0000
IL1AP,0.0000
B2L13,0.0000
PRG4,0.0000
CTTB2,0.0000
ABCF1,0.0000
CI040,0.0000
UBR1,0.0000
SND1,0.0000
DDB1,0.0000
LAMA4,0.0000
/ SEPT7,0.0000
GOGB1,0.0000
FAK2,0.0000
DCTN1,0.0000
G3BP1,0.0000
CBX3,0.0000
TADBP,0.0000
HNRPU,0.0000
CLH1,0.0000
GTF2I,0.0000
GBLP,0.0000
RS13,0.0000
IF4A1,0.0000
SUCA,0.0000
CDK9,0.0000
SEPP1,0.0000
TCPG,0.0000
NEST,0.0000
RAGP1,0.0000
ECHA,0.0000
PUR9,0.0000
GDIA,0.0000
SYTC,0.0000
COF1,0.0000
RS2,0.0000
PTPRF,0.0000
HBD,0.0000
EIF3J,0.0000
ROCK2,0.0000
NCAM2,0.0000
TCRG1,0.0000
BGH3,0.0000
FCN2,0.0000
KAD2,0.0000
PROP,0.0000
PIMT,0.0000
MBL2,0.0000
LBN,0.0000
PCP,0.0000
MANBA,0.0000
QORX,0.0000
GSTO1,0.0000
TPP2,0.0000
ACTBL,0.0000
STXB2,0.0000
ECHD1,0.0000
CDD,0.0000
KV311,0.0000
KV310,0.0000
LV205,0.0000
KV116,0.0000
SAA1,0.0000
KV303,0.0000
CPPED,0.0000
IGLL5,0.0000
KV122,0.0000
HV107,0.0000
